date, pm25
2023/1/20, 198
2023/1/21, 188
2023/1/22, 176
2023/1/23, 164
2023/1/24, 171
2023/1/25, 120
2023/1/26, 175
2023/1/27, 191
2023/1/28, 166
2023/1/29, 155
2023/1/30, 145
2023/1/31, 176
2023/2/1, 150
2023/2/2, 202
2023/2/3, 188
2023/2/4, 174
2023/2/5, 141
2023/2/6, 127
2023/2/7, 147
2023/2/8, 188
2023/2/9, 170
2023/2/10, 148
2023/2/11, 111
2023/2/13, 146
2023/2/14, 155
2023/2/15, 162
2023/2/16, 211
2023/2/17, 189
2023/2/21, 178
2023/2/22, 191
2023/2/23, 193
2023/2/24, 175
2023/2/25, 150
2023/2/26, 135
2023/2/27, 142
2023/2/28, 144
2023/3/1, 145
2023/3/2, 146
2023/3/3, 125
2023/3/4, 122
2023/3/5, 122
2023/3/6, 120
2023/3/7, 127
2023/3/8, 125
2023/3/9, 116
2023/3/10, 135
2023/3/11, 116
2023/3/12, 116
2023/3/13, 134
2023/3/14, 147
2023/3/15, 143
2023/3/16, 131
2023/3/17, 117
2023/3/18, 123
2023/3/19, 108
2023/3/20, 110
2023/3/21, 109
2023/3/22, 108
2023/3/23, 126
2023/3/24, 119
2023/3/25, 115
2023/3/26, 119
2023/3/27, 125
2023/3/28, 142
2023/3/29, 143
2023/3/30, 131
2023/3/31, 126
2022/10/1, 50
2022/10/2, 62
2022/10/3, 53
2022/10/4, 64
2022/10/5, 90
2022/10/6, 60
2022/10/7, 49
2022/10/8, 56
2022/10/9, 50
2022/10/10, 56
2022/10/11, 71
2022/10/12, 72
2022/10/13, 45
2022/10/14, 81
2022/10/15, 79
2022/10/16, 111
2022/10/17, 114
2022/10/18, 125
2022/10/19, 114
2022/10/20, 102
2022/10/21, 94
2022/10/22, 96
2022/10/23, 90
2022/10/24, 75
2022/10/25, 86
2022/10/26, 86
2022/10/27, 142
2022/10/28, 130
2022/10/29, 137
2022/10/30, 153
2022/10/31, 160
2022/11/1, 100
2022/11/2, 152
2022/11/3, 162
2022/11/4, 141
2022/11/5, 131
2022/11/6, 114
2022/11/7, 118
2022/11/8, 119
2022/11/9, 138
2022/11/10, 147
2022/11/11, 124
2022/11/12, 103
2022/11/15, 120
2022/11/16, 156
2022/11/17, 154
2022/11/18, 137
2022/11/19, 118
2022/11/20, 115
2022/11/21, 118
2022/11/22, 123
2022/11/23, 95
2022/11/24, 115
2022/11/25, 98
2022/11/26, 153
2022/11/27, 164
2022/11/28, 162
2022/11/29, 163
2022/11/30, 150
2022/12/1, 159
2022/12/2, 161
2022/12/3, 155
2022/12/4, 159
2022/12/5, 117
2022/12/6, 110
2022/12/7, 163
2022/12/8, 148
2022/12/9, 117
2022/12/10, 154
2022/12/11, 168
2022/12/13, 191
2022/12/14, 164
2022/12/15, 160
2022/12/16, 147
2022/12/17, 136
2022/12/18, 102
2022/12/19, 103
2022/12/20, 108
2022/12/21, 161
2022/12/22, 156
2022/12/23, 148
2022/12/24, 137
2022/12/25, 160
2022/12/26, 150
2022/12/27, 164
2022/12/28, 151
2022/12/29, 140
2022/12/30, 145
2022/12/31, 219
2023/1/1, 184
2022/7/1, 33
2022/7/2, 60
2022/7/3, 81
2022/7/4, 57
2022/7/5, 46
2022/7/6, 51
2022/7/7, 72
2022/7/8, 72
2022/7/9, 45
2022/7/10, 56
2022/7/11, 68
2022/7/12, 52
2022/7/13, 49
2022/7/14, 56
2022/7/15, 61
2022/7/16, 58
2022/7/17, 61
2022/7/18, 79
2022/7/19, 74
2022/7/20, 85
2022/7/21, 86
2022/7/22, 54
2022/7/23, 54
2022/7/24, 66
2022/7/25, 69
2022/7/26, 65
2022/7/27, 60
2022/7/28, 49
2022/7/29, 60
2022/7/30, 58
2022/7/31, 60
2022/8/1, 51
2022/8/2, 54
2022/8/3, 79
2022/8/4, 72
2022/8/5, 72
2022/8/6, 79
2022/8/7, 76
2022/8/8, 64
2022/8/9, 70
2022/8/10, 78
2022/8/11, 65
2022/8/12, 61
2022/8/13, 74
2022/8/14, 48
2022/8/15, 26
2022/8/16, 57
2022/8/17, 86
2022/8/18, 91
2022/8/19, 48
2022/8/20, 52
2022/8/21, 75
2022/8/29, 74
2022/8/30, 48
2022/8/31, 38
2022/9/1, 39
2022/9/2, 39
2022/9/3, 52
2022/9/4, 60
2022/9/5, 49
2022/9/6, 56
2022/9/7, 52
2022/9/8, 64
2022/9/9, 59
2022/9/10, 64
2022/9/11, 54
2022/9/12, 45
2022/9/13, 59
2022/9/14, 74
2022/9/15, 64
2022/9/16, 52
2022/9/17, 67
2022/9/18, 69
2022/9/19, 54
2022/9/20, 53
2022/9/21, 60
2022/9/22, 69
2022/9/23, 39
2022/9/24, 54
2022/9/25, 63
2022/9/26, 49
2022/9/27, 40
2022/9/28, 36
2022/9/29, 57
2022/9/30, 55
2022/4/1, 172
2022/4/2, 161
2022/4/3, 151
2022/4/4, 144
2022/4/5, 151
2022/4/6, 137
2022/4/7, 110
2022/4/8, 93
2022/4/9, 77
2022/4/10, 75
2022/4/11, 98
2022/4/12, 96
2022/4/13, 78
2022/4/14, 88
2022/4/15, 64
2022/4/16, 69
2022/4/17, 96
2022/4/18, 92
2022/4/19, 75
2022/4/20, 73
2022/4/21, 76
2022/4/22, 80
2022/4/25, 70
2022/4/26, 67
2022/4/27, 57
2022/4/28, 59
2022/4/29, 69
2022/4/30, 75
2022/5/1, 73
2022/5/2, 71
2022/5/3, 74
2022/5/4, 64
2022/5/5, 58
2022/5/6, 53
2022/5/7, 53
2022/5/8, 80
2022/5/9, 63
2022/5/10, 56
2022/5/11, 61
2022/5/12, 62
2022/5/13, 70
2022/5/14, 73
2022/5/15, 70
2022/5/16, 81
2022/5/17, 90
2022/5/18, 88
2022/5/19, 81
2022/5/20, 66
2022/5/21, 61
2022/5/22, 69
2022/5/23, 89
2022/5/24, 94
2022/5/25, 78
2022/5/26, 64
2022/5/27, 64
2022/5/28, 72
2022/5/29, 67
2022/5/30, 71
2022/5/31, 75
2022/6/1, 85
2022/6/2, 62
2022/6/3, 69
2022/6/4, 73
2022/6/5, 66
2022/6/6, 68
2022/6/7, 81
2022/6/8, 77
2022/6/9, 78
2022/6/10, 74
2022/6/11, 50
2022/6/12, 56
2022/6/13, 70
2022/6/14, 81
2022/6/15, 61
2022/6/16, 45
2022/6/17, 45
2022/6/18, 50
2022/6/19, 70
2022/6/20, 68
2022/6/21, 74
2022/6/22, 71
2022/6/23, 64
2022/6/24, 61
2022/6/25, 53
2022/6/26, 64
2022/6/27, 71
2022/6/28, 65
2022/6/29, 57
2022/6/30, 55
2022/1/3, 13
2022/1/4, 10
2022/1/5, 4
2022/1/6, 7
2022/1/7, 7
2022/1/10, 5
2022/1/11, 5
2022/1/12, 4
2022/2/9, 185
2022/2/10, 94
2022/2/11, 100
2022/2/12, 186
2022/2/13, 185
2022/2/14, 162
2022/2/15, 163
2022/2/16, 178
2022/2/17, 172
2022/2/18, 147
2022/2/19, 149
2022/2/20, 216
2022/2/21, 299
2022/2/22, 236
2022/2/23, 200
2022/2/24, 155
2022/2/25, 148
2022/2/26, 198
2022/2/27, 184
2022/2/28, 183
2022/3/1, 194
2022/3/2, 173
2022/3/3, 153
2022/3/4, 142
2022/3/5, 139
2022/3/6, 117
2022/3/7, 112
2022/3/8, 151
2022/3/9, 155
2022/3/10, 161
2022/3/11, 163
2022/3/12, 185
2022/3/13, 185
2022/3/14, 265
2022/3/15, 210
2022/3/16, 251
2022/3/17, 340
2022/3/18, 325
2022/3/19, 270
2022/3/20, 204
2022/3/21, 182
2022/3/22, 178
2022/3/23, 162
2022/3/24, 197
2022/3/25, 285
2022/3/26, 210
2022/3/27, 178
2022/3/28, 208
2022/3/29, 276
2022/3/30, 204
2022/3/31, 186
2021/10/1, 82
2021/10/2, 77
2021/10/4, 95
2021/10/5, 100
2021/10/6, 78
2021/10/7, 85
2021/10/8, 98
2021/10/9, 111
2021/10/10, 89
2021/10/11, 81
2021/10/12, 90
2021/10/13, 95
2021/10/14, 82
2021/10/15, 103
2021/10/16, 100
2021/10/17, 76
2021/10/18, 86
2021/10/19, 91
2021/10/20, 95
2021/10/21, 96
2021/10/22, 94
2021/10/23, 81
2021/10/24, 93
2021/10/25, 116
2021/10/26, 108
2021/10/27, 107
2021/10/28, 114
2021/10/29, 118
2021/10/30, 130
2021/10/31, 127
2021/11/1, 116
2021/11/2, 113
2021/11/3, 126
2021/11/4, 120
2021/11/5, 121
2021/11/6, 115
2021/11/7, 110
2021/11/8, 121
2021/11/9, 103
2021/11/10, 100
2021/11/11, 117
2021/11/12, 103
2021/11/13, 109
2021/11/14, 105
2021/11/15, 105
2021/11/16, 99
2021/11/17, 102
2021/11/18, 97
2021/11/19, 92
2021/11/20, 103
2021/11/21, 91
2021/11/22, 93
2021/11/23, 87
2021/11/24, 89
2021/11/25, 80
2021/11/26, 80
2021/11/27, 80
2021/11/28, 81
2021/11/29, 80
2021/11/30, 73
2021/12/1, 72
2021/12/2, 74
2021/12/3, 76
2021/12/4, 69
2021/12/5, 67
2021/12/6, 67
2021/12/7, 54
2021/12/8, 59
2021/12/9, 57
2021/12/10, 55
2021/12/11, 53
2021/12/12, 48
2021/12/13, 45
2021/12/14, 55
2021/12/15, 44
2021/12/16, 43
2021/12/17, 39
2021/12/18, 41
2021/12/19, 35
2021/12/20, 30
2021/12/21, 29
2021/12/22, 32
2021/12/23, 24
2021/12/24, 26
2021/12/25, 19
2021/12/26, 17
2021/12/27, 16
2021/12/28, 17
2021/12/29, 15
2021/12/30, 13
2021/12/31, 10
2022/1/1, 14
2022/1/2, 11
2021/7/1, 70
2021/7/2, 86
2021/7/3, 82
2021/7/4, 53
2021/7/5, 67
2021/7/6, 103
2021/7/7, 85
2021/7/8, 81
2021/7/9, 58
2021/7/10, 72
2021/7/11, 74
2021/7/12, 69
2021/7/13, 96
2021/7/14, 112
2021/7/15, 95
2021/7/16, 61
2021/7/17, 79
2021/7/18, 92
2021/7/19, 72
2021/7/20, 61
2021/7/21, 64
2021/7/22, 77
2021/7/23, 91
2021/7/24, 83
2021/7/25, 87
2021/7/26, 72
2021/7/27, 71
2021/7/28, 101
2021/7/29, 113
2021/7/30, 98
2021/7/31, 84
2021/8/2, 63
2021/8/3, 76
2021/8/4, 66
2021/8/5, 58
2021/8/6, 86
2021/8/7, 63
2021/8/8, 59
2021/8/9, 61
2021/8/10, 74
2021/8/11, 55
2021/8/12, 65
2021/8/13, 76
2021/8/14, 61
2021/8/15, 84
2021/8/16, 63
2021/8/17, 71
2021/8/18, 53
2021/8/19, 60
2021/8/20, 61
2021/8/21, 64
2021/8/22, 77
2021/8/23, 58
2021/8/24, 77
2021/8/25, 56
2021/8/26, 51
2021/8/27, 59
2021/8/28, 55
2021/8/29, 81
2021/8/30, 67
2021/8/31, 61
2021/9/1, 82
2021/9/2, 70
2021/9/3, 80
2021/9/4, 62
2021/9/5, 83
2021/9/6, 66
2021/9/7, 76
2021/9/8, 88
2021/9/9, 88
2021/9/10, 72
2021/9/11, 82
2021/9/12, 84
2021/9/13, 65
2021/9/14, 62
2021/9/15, 76
2021/9/16, 68
2021/9/17, 74
2021/9/18, 77
2021/9/19, 70
2021/9/20, 91
